
# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_deathrowzone                     Solo Braccio della Morte
reformprogram_parolehearing_text                     Un'udienza per determinare se il detenuto può essere rilasciato in anticipo. Un rilascio anticipato nel quale il detenuto non risulterà recidivo offre dei bonus. Se il detenuto infrange nuovamente la legge sarai multato.

reform_program_intake_deathrow                      Il detenuto è nel Braccio della Morte

# =============================================================================
# DoorTimer stuff
# =============================================================================

doortimer_security_DeathRow                          Braccio della Morte

# =============================================================================
# Execution
# =============================================================================

execution_stage_Start                                      Esecuzione iniziata
execution_stage_Lockdown                            Inizia blocco di tutta la Prigione
execution_stage_Testing                                Collauda Struttura
execution_stage_Assemble                            Cura i particolari dell'esecuzione
execution_stage_Witnesses                           Scorta i Testimoni
execution_stage_Escort                                  Scorta il Detenuto
execution_stage_Execution                            ESECUZIONE
execution_stage_Dismissed                            Congeda Personale e Testimoni
execution_stage_FinalReport                          Relazione finale

execution_stagetooltip_start                         Hai programmato l'esecuzione di questo detenuto, dovrai seguire le procedure ufficiali.

execution_stagetooltip_lockdown                     Tutti i detenuti sono stati mandati nelle proprie celle e la prigione è bloccata.

execution_stagetooltip_testing                        L'esame finale per assicurarsi che tutto funzioni. Il bisogno elettrico della sedia in funzione viene esaminato. Il percorso che dovrà seguire il detenuto viene pianificato – dovrà essere in grado di raggiungere la stanza da solo.

execution_stagetooltip_assemble                      Il Capitano e il Direttore raggiungono la cella del condannato. Un leader spirituale o un prete arrivano per visitare e dare l'ultima benedizione al detenuto.

execution_stagetooltip_witnesses                     I Testimoni dell'esecuzione arrivano nella prigione e raggiungono la stanza delle esecuzioni. Questo gruppo può includere la famiglia del condannato e/o la famiglia della vittima.\n\nNb.I Testimoni avranno bisogno di alcune sedie.

execution_stagetooltip_escort                        Il condannato viene scortato dalla sua cella alla stanza delle Esecuzioni. Il Capitano, il Direttore e il Prete lo accompagnano.

execution_stagetooltip_execution                     Quando tutti sono sul posto e tutte le procedure concluse viene data l'autorizzazione finale all'Esecuzione.

execution_stagetooltip_dismissed                     Il Personale e i Testimoni vengono congedati e possono lasciare l'edificio.

execution_stagetooltip_finalreport                   Quando l'Esecuzione è ultimata una relazione valuterà la tua performance.
execution_underway                                   ESECUZIONE IN CORSO

execution_result_ok                                  L'Esecuzione di *N è stata effettuata da *N come programmato tramite Sedia Elettrica, in presenza di Testimoni. Il compenso standard di $10,000 è elargito alla prigione per il servizio. 

execution_result_appealed                       L'Esecuzione di *N è stata effettuata da *N come programmato tramite Sedia Elettrica, in presenza di Testimoni. Purtroppo delle nuove informazioni, che avrebbero influito sull'udienza di clemenza, sono venuto fuori, non c'è intenzione di agire legalmente contro la Prigione e riceverai il compenso standard di $10,000 per il servizio.

execution_result_innocent                            L'Esecuzione di *N è stata effettuata da *N come programmato tramite Sedia Elettrica, in presenza di Testimoni. Purtroppo sono state scoperte nuove infomazioni che provano l'innocenza di *N, non c'è intenzione di agire legalmente contro la Prigione e riceverai il compenso standard di $10,000 per il servizio.

execution_result_illegal                              L'Esecuzione di *N è stata effettuata da *N come programmato tramite Sedia Elettrica, in presenza di Testimoni. Poichè non sei riuscito a seguire il processo d'appello legalmente richiesto e aver scoperto le informazioni necessarie affinché l'appello avesse esito positivo, la Prigione è multata di $50,000. Per non essere riuscito a seguire il giusto protocollo, le esecuzioni sono sospese fino a data da destinarsi, tutti i restanti Detenuti del Braccio della Morte verranno trasferiti in un'altra Prigione.

execution_warning_one                                Se la prossima esecuzione eseguita non rispetterà il protocollo sarai sollevato dal tuo incarico.

execution_warning_two                                Nel caso in cui dovessi nuovamente infrangere il protocollo, sulla base ai tuoi fallimenti precedenti nel seguire la procedura per l'esecuzione, sarai sollevato dal tuo incarico.

execution_error_MissingEquipment                     ERRORE: MANCA ATTREZZATURA\nHai bisogno di una Stanza delle Esecuzioni con una Sedia Elettrica.
execution_error_ElectricalSupply                     ERRORE: PROBLEMA ELETTRICO\nNon c'è sufficiente elettricità per alimentare la Sedia Elettrica.
execution_error_NavigationPrisoner                   ERRORE: DETENUTO IMPOSSIBILITATO\nIl Condannato non può raggiungere la Stanza delle Esecuzioni.

# =============================================================================
# Misc
# =============================================================================

family_priest                                        Prete
family_victims                                      La famiglia della vittima

remotedoor_noservo                                  Le Porte Remote non si apriranno senza un Meccanismo per il Controllo Remoto connesso.

# =============================================================================
# Expense popups
# =============================================================================

finance_cost_executionfine                           Multa Esecuzione Errata
finance_cost_executioncompensation                   Indennità Esecuzione
