
# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_deathrowzone                     Death Row Only                   
score_prisonersexecuted                              Prisoners Executed (Innocent)    
score_prisonersexecuted_info                         *E (*I)                          

score_tooltip_clemencychance_title                   Likelihood of Clemency           
score_tooltip_clemencychance                         The likelihood that the Appeals Board will grant clemency and commute the prisoners death row sentence. Each unsuccessful appeal lowers this value until it is below the State Approved Conviction Strength, at which point full authorisation to proceed is given. Scheduling the execution before this point will result in extreme penalties if it is later found that the prisoner's appeal would have succeeded.\n\nIf clemency is granted, the prisoner will be immediately released (if found innocent), or transferred to Maximum Security (if still judged as guilty.)
score_tooltip_currentchance                          The State Approved Conviction Strength is *X%
score_tooltip_clemencywarning                        The chance of this prisoner being granted clemency is currently above the State Approved safe level. If you proceed with this execution, you will be held personally responsible if it is later found he would have been granted clemency. 

schedule_zone_deathrowonly                           Death Row                        

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_intake_deathrow                            Death Row                        

# =============================================================================
# Materials
# =============================================================================
                                              
                                                                                                       
object_executionwitness                              Execution Witness                
object_appealslawyer                                 Appeals Lawyer                   
object_appealsmagistrate                             Appeals Magistrate               

room_intake                                          Intake -> Reception

reformprogram_deathrowappeal                         Death Row Appeal                 

reformprogram_parolehearing_text                     A hearing to determine is a prisoner is eligible for early release. A successful release in which a prisoner doesn't reoffend will award a nice bonus. If the prisoner does reoffend, you will instead be fined. The warden and chief must be in attendance. There can therefore only be 1 parole programming running at any time. -> A hearing to determine is a prisoner is eligible for early release. A successful release in which a prisoner doesn't reoffend will award a nice bonus. 

reform_program_intake_deathrow                       Prisoner is on Death Row         

# =============================================================================
# DoorTimer stuff
# =============================================================================

doortimer_security_DeathRow                          Death Row                        

# =============================================================================
# Execution
# =============================================================================

execution_stage_Start                                Execution initiated              
execution_stage_Lockdown                             Initiate prison-wide lockdown    
execution_stage_Testing                              Test facility                    
execution_stage_Assemble                             Assemble execution detail        
execution_stage_Witnesses                            Escort witnesses to facility     
execution_stage_Escort                               Escort prisoner to facility      
execution_stage_Execution                            EXECUTION                        
execution_stage_Dismissed                            Dismiss staff and witnesses      
execution_stage_FinalReport                          Final report                     

execution_stagetooltip_start                         You have scheduled the execution of this inmate, and must now follow the official procedure.
execution_stagetooltip_lockdown                      All prisoners are sent back to their cells and the prison is locked down.
execution_stagetooltip_testing                       The final test pass to ensure everything is working. The electrical supply to the chair is tested under load.  In addition, the final route of the prisoner is planned out - he must be able to walk to the execution room himself.
execution_stagetooltip_assemble                      The Warden and the Chief make thier way to the condemned inmate's cell.  In addition, a priest or spiritual leader of the prisoners choice arrives on site and visits the prisoner in his cell to say final prayers.
execution_stagetooltip_witnesses                     Witnesses to the execution arrive on site, and make their way to the execution facility. This group can include family members of the condemned inmate, and also members of the victims family.\n\nNb. Execution witnesses should be provided with chairs.
execution_stagetooltip_escort                        The condemned inmate is escorted from his cell to the execution facility. The Warden, Chief, and Priest accompany him.
execution_stagetooltip_execution                     With everyone in place and all procedures followed, the final authorisation for the execution is given.
execution_stagetooltip_dismissed                     The staff and witnesses are dismissed and may leave the facility.
execution_stagetooltip_finalreport                   With the execution completed, a report is compiled, and your performance graded.

execution_underway                                   EXECUTION UNDERWAY               
execution_result_ok                                  The mandated execution of *N was carried out at *T as scheduled, by electric chair, in the presence of witnesses. The standard compensation of $10,000 is awarded to the institution for their part in this process.
execution_result_appealed                            The mandated execution of *N was carried out at *T as scheduled, by electric chair, in the presence of witnesses. Regrettably, new information came to light after the fact that would have affected his appeal for clemency, though no action will be taken against the institution and they will receive the standard compensation of $10,000 for their part in the process.
execution_result_innocent                            The mandated execution of *N was carried out at *T as scheduled, by electric chair, in the presence of witnesses. Regrettably, evidence was later uncovered that revealed *N's innocence, though no action will be taken against the institution and they will receive the standard compensation of $10,000 for their part in the process.
execution_result_illegal                             The execution of *N was carried out at *T as scheduled, by electric chair, in the presence of witnesses. Due to the failure to follow the legally required appeals process and the discovery of information that would have ultimately resulted in a successful appeal, the institution is fined $50,000. Due to the failure to follow proper protocol, executions are suspended until a later date, and any remaining Death Row prisoners will be transferred to another facility. 
execution_warning_one                                Should the next execution performed here not follow the correct procedure, you will be fired from your position.
execution_warning_two                                Due to your past failures to follow correct procedure, one more breach of protocol in this manner will result in you being fired from your position.

execution_error_MissingEquipment                     ERROR: MISSING EQUIPMENT\nYou need an execution room with an electric chair.
execution_error_ElectricalSupply                     ERROR: POWER FAILURE\nThere is insufficient electrical power to the chair.
execution_error_NavigationPrisoner                   ERROR: PRISONER NAVIGATION\nThe condemned inmate cannot walk from his cell to the execution room.

# =============================================================================
# Misc
# =============================================================================

family_priest                                        Priest                           
family_victims                                       Victim's family                  

remotedoor_noservo                                   Remote Doors will not open without a working servo attached.

# =============================================================================
# Expense popups
# =============================================================================

finance_cost_executionfine                           Improper Execution Fine          
finance_cost_executioncompensation                   Execution Compensation           
